"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"179","Canis lupus","2020-09","09","2020",4,5,0,767,0.00521512385919166,0.15645371577575,0.00651890482398957,0.195567144719687,0,0
"180","Canis lupus","2020-10","10","2020",1,1,0,765,0.00130718954248366,0.0405228758169935,0.00130718954248366,0.0405228758169935,0,0
"181","Canis lupus","2020-11","11","2020",5,7,0,691,0.00723589001447178,0.217076700434153,0.0101302460202605,0.303907380607815,0,0
"182","Canis lupus","2020-12","12","2020",3,3,0,548,0.00547445255474453,0.16970802919708,0.00547445255474453,0.16970802919708,0,0
"183","Canis lupus","2021-01","01","2021",3,3,0,749,0.00400534045393859,0.124165554072096,0.00400534045393859,0.124165554072096,0,0
"184","Canis lupus","2021-02","02","2021",5,6,0,745,0.00671140939597315,0.187919463087248,0.00805369127516779,0.225503355704698,0,0
"185","Canis lupus","2021-03","03","2021",5,8,0,866,0.00577367205542725,0.178983833718245,0.0092378752886836,0.286374133949192,0,0
"186","Canis lupus","2021-04","04","2021",6,8,0,769,0.00780234070221066,0.23407022106632,0.0104031209362809,0.312093628088427,0,0
"187","Canis lupus","2021-05","05","2021",1,1,0,814,0.00122850122850123,0.0380835380835381,0.00122850122850123,0.0380835380835381,0,0
"188","Canis lupus","2021-06","06","2021",5,5,0,797,0.00627352572145546,0.188205771643664,0.00627352572145546,0.188205771643664,0,0
"189","Canis lupus","2021-08","08","2021",9,9,0,909,0.0099009900990099,0.306930693069307,0.0099009900990099,0.306930693069307,0,0
"190","Canis lupus","2021-09","09","2021",5,5,0,857,0.0058343057176196,0.175029171528588,0.0058343057176196,0.175029171528588,0,0
"191","Canis lupus","2021-10","10","2021",30,30,0,913,0.0328587075575027,1.01861993428259,0.0328587075575027,1.01861993428259,0,0
"192","Canis lupus","2021-11","11","2021",11,11,0,757,0.0145310435931308,0.435931307793923,0.0145310435931308,0.435931307793923,0,0
"193","Canis lupus","2021-12","12","2021",14,15,0,525,0.0266666666666667,0.826666666666667,0.0285714285714286,0.885714285714286,0,0
"194","Canis lupus","2022-01","01","2022",17,17,0,563,0.0301953818827709,0.936056838365897,0.0301953818827709,0.936056838365897,0,0
"195","Canis lupus","2022-02","02","2022",12,13,0,559,0.0214669051878354,0.601073345259392,0.0232558139534884,0.651162790697674,0,0
"196","Canis lupus","2022-03","03","2022",31,32,0,713,0.0434782608695652,1.34782608695652,0.0448807854137447,1.39130434782609,0,0
"197","Canis lupus","2022-04","04","2022",7,8,0,712,0.0098314606741573,0.294943820224719,0.0112359550561798,0.337078651685393,0,0
"198","Canis lupus","2022-05","05","2022",5,5,0,801,0.00624219725343321,0.193508114856429,0.00624219725343321,0.193508114856429,0,0
